kind,M,k,d,neg_ratio,trials,mean_ratio,rsd_emp,rsd_theory,rsd_emp_over_theory,q05_emp,q05_chi2,q05_normal,q50_emp,q95_emp,q95_chi2,fail_rate,failed_n,failed_mean_ratio,failed_q05,lemma5_rel_bound,q01_emp,q01_chi2,failed_q01,failed_q05_oslcb95,failed_q01_oslcb95
grid,4096,4,1638,-1,1000000,1.000040,0.022100,0.022093,1.0003,0.9640,0.9639,0.9637,0.9999,1.0367,1.0366,0.00000,0,NaN,NaN,NaN,0.9493,0.9493,NaN,NaN,NaN
grid,4096,4,3277,-1,1000000,1.000002,0.022113,0.022096,1.0007,0.9639,0.9639,0.9637,0.9999,1.0366,1.0366,1.00000,1000000,1.000002,0.9639,NaN,0.9493,0.9493,0.9493,0.9638,0.9492
grid,4096,4,6554,-1,1000000,1.000004,0.022094,0.022098,0.9998,0.9640,0.9639,0.9637,0.9998,1.0366,1.0366,1.00000,1000000,1.000004,0.9640,NaN,0.9493,0.9493,0.9493,0.9639,0.9492
grid,4096,4,32768,-1,1000000,0.999999,0.022077,0.022099,0.9990,0.9640,0.9639,0.9636,0.9998,1.0366,1.0366,1.00000,1000000,0.999999,0.9640,NaN,0.9494,0.9493,0.9494,0.9639,0.9493
grid,64,3,26,0,1000000,0.999975,0.174635,0.174714,0.9995,0.7390,0.7261,0.7126,0.9811,1.3039,1.3100,0.00958,9582,1.092932,0.8197,1.77627,0.6583,0.6326,0.7121,0.7928,0.6852
grid,64,3,51,0,1000000,0.999892,0.176337,0.176419,0.9995,0.7353,0.7261,0.7098,0.9822,1.3114,1.3100,0.68242,682418,1.034734,0.7628,0.12035,0.6393,0.6326,0.6805,0.7628,0.6805
grid,64,3,102,0,1000000,1.000016,0.176981,0.177299,0.9982,0.7301,0.7261,0.7084,0.9907,1.3061,1.3100,1.00000,1000000,1.000016,0.7301,NaN,0.6341,0.6326,0.6341,0.7301,0.6341
grid,64,3,512,0,1000000,0.999988,0.178323,0.178000,1.0018,0.7268,0.7261,0.7072,0.9891,1.3101,1.3100,1.00000,1000000,0.999988,0.7268,NaN,0.6325,0.6326,0.6325,0.7268,0.6325
grid,64,3,26,0.1,1000000,0.999666,0.174713,0.174714,1.0000,0.7230,0.7261,0.7126,0.9920,1.3148,1.3100,0.00963,9627,1.056288,0.7499,1.77207,0.6423,0.6326,0.6692,0.7499,0.6423
grid,64,3,51,0.1,1000000,1.000036,0.176549,0.176419,1.0007,0.7311,0.7261,0.7098,0.9916,1.3071,1.3100,0.68234,682342,1.022288,0.7585,0.12037,0.6351,0.6326,0.6625,0.7585,0.6625
grid,64,3,102,0.1,1000000,0.999962,0.177088,0.177299,0.9988,0.7284,0.7261,0.7084,0.9890,1.3113,1.3100,1.00000,1000000,0.999962,0.7284,NaN,0.6392,0.6326,0.6392,0.7284,0.6324
grid,64,3,512,0.1,1000000,1.000094,0.177837,0.178000,0.9991,0.7274,0.7261,0.7072,0.9897,1.3094,1.3100,1.00000,1000000,1.000094,0.7274,NaN,0.6345,0.6326,0.6345,0.7261,0.6332
