M,k,d,load,sign_mode,neg_ratio,rho,abs_rho,trials,failed_n,success_n,fail_rate,failed_mean,failed_variance,variance_ratio_to_unconditional_exact,effective_df_from_moments,ks_failed_vs_chi2,ks_all_vs_chi2,ks_failed_vs_all,ks_failed_vs_success,failed_q01,chi2_q01,error_q01,failed_q50,chi2_q50,error_q50,failed_q99,chi2_q99,error_q99,rho2,mean_bias
1024,3,840,0.8203125,fixed:0,0.0,1.0,1.0,1000000,758779,241221,0.758779,1.0064552238800757,0.0018567228089212,0.950845675901176,1091.11830027449,0.0621740768677832,0.0061752223243383,0.0610398637244837,0.2530453970611334,0.90998243,0.9000222157565223,0.0099602142434777,1.00550037,0.9993483974822964,0.0061519725177037,1.11057009,1.1057270175596228,0.0048430724403771,1.0,0.006455223880075689
1024,3,850,0.830078125,fixed:0.5,0.5,0.0,0.0,1000000,916127,83873,0.916127,1.0000403785227814,0.0019600231264861,1.0037326911873037,1020.4785292190776,0.0038001553374929,0.0040301077709438,0.0004418975797024,0.0052686511714423,0.8998913,0.9000222157565223,-0.0001309157565223,0.9990052,0.9993483974822964,-0.0003431974822962,1.10598529,1.1057270175596228,0.0002582724403772,0.0,4.037852278138132e-05
1024,3,850,0.830078125,fixed:0.45,0.45,0.0988235294117647,0.0988235294117647,1000000,916308,83692,0.916308,0.9999955822441364,0.0019513164966123,0.9992740044931036,1024.9399994760931,0.0041243305077672,0.0044240400951522,0.000458551277518,0.0054790335697323,0.89988516,0.9000222157565223,-0.0001370557565223,0.99899906,0.9993483974822964,-0.0003493374822962,1.10597914,1.1057270175596228,0.0002521224403773,0.009766089965397922,-4.4177558635727365e-06
1024,3,850,0.830078125,fixed:0.4,0.4,0.2,0.2,1000000,916049,83951,0.916049,1.0001381642385396,0.0019552267439737,1.0012764518388642,1023.181941070928,0.0050280192731511,0.0041434503669026,0.0009552891068054,0.0113791271909259,0.89988977,0.9000222157565223,-0.0001324457565222,0.99979029,0.9993483974822964,0.0004418925177036,1.10598375,1.1057270175596228,0.0002567324403772,0.04000000000000001,0.00013816423853962867
1024,3,850,0.830078125,fixed:0.35,0.35,0.2988235294117647,0.2988235294117647,1000000,916454,83546,0.916454,1.0002096332155572,0.0019626004154858,1.00505252725898,1019.4834388940304,0.0058835256783299,0.0038650614850249,0.0022797909464086,0.0272878527566688,0.90027078,0.9000222157565223,0.0002485642434777,0.99938469,0.9993483974822964,3.629251770365105e-05,1.10636477,1.1057270175596228,0.0006377524403773,0.08929550173010381,0.00020963321555722558
1024,3,850,0.830078125,fixed:0.3,0.3,0.4,0.4,1000000,916178,83822,0.916178,1.0004626488707764,0.0019563023375428,1.0018272659660623,1023.2830504539672,0.0078474951930072,0.0041131335160933,0.0038431482768632,0.0458489212481595,0.90067178,0.9000222157565223,0.0006495642434777,0.99978568,0.9993483974822964,0.0004372825177036,1.10597914,1.1057270175596228,0.0002521224403773,0.16000000000000003,0.0004626488707764054
1024,3,850,0.830078125,fixed:0.25,0.25,0.4988235294117647,0.4988235294117647,1000000,916243,83757,0.916243,1.0006191208404212,0.0019488051960171,0.997987961246567,1027.5410051633207,0.0095880910839127,0.003992222825934,0.0060888673190409,0.0726968172097962,0.90065334,0.9000222157565223,0.0006311242434776,0.99976724,0.9993483974822964,0.0004188425177036,1.10674733,1.1057270175596228,0.0010203124403771,0.2488249134948097,0.0006191208404211501
1024,3,850,0.830078125,fixed:0.2,0.2,0.6,0.6,1000000,915523,84477,0.915523,1.0009378549128098,0.0019490630910984,0.9981200299556516,1028.0596805440484,0.0117513414401096,0.0043130001234987,0.0086509380747397,0.1024058391602423,0.90145071,0.9000222157565223,0.0014284942434776,1.00056461,0.9993483974822964,0.0012162125177037,1.10675808,1.1057270175596228,0.0010310624403773,0.36,0.0009378549128098435
1024,3,850,0.830078125,fixed:0.15,0.15,0.6988235294117647,0.6988235294117647,1000000,916888,83112,0.916888,1.001197868331431,0.0019397932792646,0.9933729363866624,1033.509273659729,0.0142556960349374,0.0049998060607792,0.0116958179494114,0.1407235772140183,0.90181944,0.9000222157565223,0.0017972242434777,1.00014672,0.9993483974822964,0.0007983225177037,1.10712681,1.1057270175596228,0.0013997924403772,0.4883543252595156,0.0011978683314310956
1024,3,850,0.830078125,fixed:0.1,0.1,0.8,0.8,1000000,915851,84149,0.915851,1.0016290208903522,0.0019313439067159,0.9890459918049876,1038.9249599732836,0.0176202817830894,0.0051515609834633,0.0155109941704491,0.1843277302219767,0.90301319,0.9000222157565223,0.0029909742434777,1.00055386,0.9993483974822964,0.0012054625177035,1.10753394,1.1057270175596228,0.0018069224403771,0.6400000000000001,0.0016290208903522174
1024,3,850,0.830078125,fixed:0.05,0.05,0.8988235294117647,0.8988235294117647,1000000,916262,83738,0.916262,1.002180801801264,0.0019135954036531,0.979956939485622,1049.7165258462103,0.0225921058706877,0.0047062901233779,0.0198272826636922,0.2367775999390033,0.90376908,0.9000222157565223,0.0037468642434776,1.00130975,0.9993483974822964,0.0019613525177037,1.10750322,1.1057270175596228,0.0017762024403771,0.8078837370242214,0.0021808018012638986
1024,3,850,0.830078125,fixed:0,0.0,1.0,1.0,1000000,915943,84057,0.915943,1.0026072301447904,0.0018970553566386,0.9714867404977092,1059.7700846429225,0.0265854102090024,0.0054962660136943,0.0245184801062948,0.2916887362895989,0.90535922,0.9000222157565223,0.0053370042434777,1.00211327,0.9993483974822964,0.0027648725177036,1.10830674,1.1057270175596228,0.0025797224403771,1.0,0.0026072301447903623
4096,3,3297,0.804931640625,fixed:0.5,0.5,-0.0003033060357901,0.0003033060357901,300000,29205,270795,0.09735,0.9999436146605032,0.0004947290281564,1.013265014545103,4042.16116538086,0.0068101850875756,0.0032803161908974,0.0046836089710666,0.0051887320346386,0.94953762,0.9493075447102594,0.0002300752897406,0.99992333,0.9998372045498432,8.612545015684869e-05,1.05233256,1.0521289049035325,0.0002036550964674,9.19945513467054e-08,-5.638533949681168e-05
4096,3,3297,0.804931640625,fixed:0.45,0.45,0.0997876857749469,0.0997876857749469,300000,29355,270645,0.09785,0.9999182427252598,0.0004896476434573,1.0028577227792528,4083.901987458006,0.0070230364759596,0.003079533843861,0.0049486169306762,0.0054853593423224,0.94874521,0.9493075447102594,-0.0005623347102593,0.99973797,0.9998372045498432,-9.92345498431746e-05,1.052442631,1.0521289049035325,0.0003137260964674,0.00995758223231954,-8.175727474024619e-05
4096,3,3297,0.804931640625,fixed:0.4,0.4,0.1998786775856839,0.1998786775856839,300000,29311,270689,0.0977033333333333,1.0004379721428815,0.0004916713551234,1.0070025295604392,4071.321730159181,0.0110983860177397,0.0037222143669234,0.0114219447761363,0.0126587465055503,0.948927676,0.9493075447102594,-0.0003798687102593,1.00010256,0.9998372045498432,0.0002653554501568,1.05251179,1.0521289049035325,0.0003828850964675,0.03995148575340177,0.0004379721428815486
